timestamp,event_type,source_path,destination_path,user,process,sensitive,unauthorized,integrity_check,violations
2025-12-17T16:59:31.463390,MODIFIED,./watch_dir/testfile.txt,,kali-attacker,UNKNOWN,False,False,NOT_CHECKED,
2025-12-17T21:22:25.936987,MODIFIED,./watch_dir/testfile.txt,,kali-attacker,UNKNOWN,False,False,NOT_CHECKED,
2025-12-22T14:55:49.769409,CREATED,./watch_dir/demo_original.txt,,kali-attacker,UNKNOWN,LOW,0,0,NOT_CHECKED,
2025-12-22T14:57:45.915207,CREATED,./watch_dir/demo_corrupted.txt,,kali-attacker,UNKNOWN,LOW,0,0,NOT_CHECKED,
2025-12-22T14:57:45.916230,CREATED,./watch_dir/demo_corrupted.txt,,kali-attacker,UNKNOWN,LOW,0,0,NOT_CHECKED,
2025-12-22T14:58:09.997458,DELETED,./watch_dir/demo_original.txt,,kali-attacker,UNKNOWN,LOW,0,0,NOT_CHECKED,
2025-12-22T14:58:09.996910,DELETED,./watch_dir/demo_original.txt,,kali-attacker,UNKNOWN,LOW,0,0,NOT_CHECKED,
2025-12-22T14:58:18.727339,CREATED,./watch_dir/demo_original.txt,,kali-attacker,UNKNOWN,LOW,0,0,NOT_CHECKED,
2025-12-22T14:58:18.729316,CREATED,./watch_dir/demo_original.txt,,kali-attacker,UNKNOWN,LOW,0,0,NOT_CHECKED,
2025-12-22T15:00:24.549686,DELETED,./watch_dir/demo_corrupted.txt,,kali-attacker,UNKNOWN,LOW,0,0,NOT_CHECKED,
2025-12-22T15:00:24.550916,DELETED,./watch_dir/demo_corrupted.txt,,kali-attacker,UNKNOWN,LOW,0,0,NOT_CHECKED,
2025-12-22T15:00:33.374284,CREATED,./watch_dir/demo_corrupted.txt,,kali-attacker,UNKNOWN,LOW,0,0,NOT_CHECKED,
2025-12-22T15:00:33.376321,CREATED,./watch_dir/demo_corrupted.txt,,kali-attacker,UNKNOWN,LOW,0,0,NOT_CHECKED,
2025-12-22T15:46:25.231084,MODIFIED,./watch_dir/demo_corrupted.txt,,kali-attacker,UNKNOWN,LOW,0,0,NOT_CHECKED,
2025-12-22T15:46:25.343537,MODIFIED,./watch_dir/demo_original.txt,,kali-attacker,UNKNOWN,LOW,0,0,NOT_CHECKED,
2026-01-03T20:50:16.736455,DELETED,./watch_dir/.keep,,kali-attacker,UNKNOWN,LOW,0,0,FILE_REMOVED,
2026-01-03T20:50:49.637361,CREATED,./watch_dir/.keep,,kali-attacker,UNKNOWN,LOW,0,0,NEW_FILE_REGISTERED,
2026-01-03T22:02:21.070965,DELETED,watch_dir/demo_original.txt,,kali-attacker,UNKNOWN,LOW,0,0,FILE_REMOVED,
2026-01-03T22:02:28.130673,CREATED,watch_dir/file_secure_monitor,,kali-attacker,UNKNOWN,LOW,0,0,NEW_FILE_REGISTERED,
